"start";"end";"Please select which group the respondent belongs to";"Please select which group the respondent belongs to/Local community";"Please select which group the respondent belongs to/Local government";"Please select which group the respondent belongs to/National government";"Please select which group the respondent belongs to/Regulator";"Please select which group the respondent belongs to/NGO/Civil Society";"Please select which group the respondent belongs to/Utility provider";"Please select which group the respondent belongs to/Other (please specify)";"Other (specify)";"How was the respondent affected by the construction of the dam?";"Other (specify)";"Do you understand the purpose of our research?";"Do you consent to participating in our research?";"How important is the river for you?";"How do you use the river?";"Drinking water";"Irrigation";"Washing and bathing";"Fishing for consumption";"Fishing to sell";"Tourism";"Cultural significance";"Transport";"Prevent climate change";"Protect biodiversity";"How important are forests for you?";"How do you use the forest?";"Firewood";"Collecting herbs / medicinal plants";"Food (animal)";"Food (fruits)";"Cultural significance";"Construction";"Livestock grazing";"Agriculture";"Prevent climate change";"Protect biodiversity";"Have you received any financial compensation following construction of the dam?";"Do you think you should have been compensated following construction of the dam?";"How did/will you receive this compensation?";"Are you happy with the amount of compensation?";"Are you happy with the timing of compensation?";"Do you have access to electricity?";"Do you receive any of these services from the dam?";"Electricity";"Irrigation";"Drinking water";"Employment";"How do you feel about the benefits you receive from the dam?";"Has any land that you own or rent been impacted by the dam?";"When did you hear about the construction of the dam?";"Did you have the opportunity to participate in decision-making?";"How did you participate in decision-making?";"How did you participate in decision-making? (other specify)";"Do you feel that decision-makers listened to you?";"Have you noticed a change in the environment around you following the construction of the dam?";"Have you noticed a change in the amount of wildlife around you following the construction of the dam?";"""Dam development has fairly balanced the needs for society, biodiversity conservation and energy generation"". Do you:";"How important are the following themes to you?";"1st choice";"2nd choice";"3rd choice";"4th choice";"5th choice";"How important are the following themes to you?";"1st choice";"2nd choice";"3rd choice";"What is your age?";"What gender do you identify with?";"What is your highest level of education?";"What is your current occupation?";"Other (specify)";"Please select all that apply";"Please select all that apply/Farming crops (for household)";"Please select all that apply/Farming crops (to sell)";"Please select all that apply/Fishing (for household)";"Please select all that apply/Fishing (to sell)";"Please select all that apply/Livestock (for household)";"Please select all that apply/Livestock (to sell)";"What was your occupation before the dam was built?";"Other (specify)";"Please select all that apply";"Please select all that apply/Farming crops (for household)";"Please select all that apply/Farming crops (to sell)";"Please select all that apply/Fishing (for household)";"Please select all that apply/Fishing (to sell)";"Please select all that apply/Livestock (for household)";"Please select all that apply/Livestock (to sell)";"In the last year, how many months have you received a salary or income?";"How many people live in your household?";"In the last year, how many people in your household received a salary or other source of income?";"Which of these do you have in your household?";"Which of these do you have in your household?/Bike";"Which of these do you have in your household?/Motorbike/scooter";"Which of these do you have in your household?/Car";"Which of these do you have in your household?/TV";"Which of these do you have in your household?/Radio";"Which of these do you have in your household?/Computer";"Which of these do you have in your household?/Washing machine";"Which of these do you have in your household?/Air conditioning";"Which of these do you have in your household?/Fan";"Which of these do you have in your household?/Bed";"Which of these do you have in your household?/Table";"Which of these do you have in your household?/Chairs";"Which of these do you have in your household?/Gas stove";"Which of these do you have in your household?/Microwave";"Which of these do you have in your household?/Fridge";"Which of these do you have in your household?/Freezer";"Which of these do you have in your household?/Pressure cooker";"Which of these do you have in your household?/Internet";"Which of these do you have in your household?/Water";"Which of these do you have in your household?/Electricity";"What country do you live in?";"What is your highest level of formal education?";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"2023-02-27T13:34:35.806+05:30";"2023-02-27T13:46:28.839+05:30";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Affected but not displaced (nearby village)";"";"Yes";"Yes";"Very important";"";"Always";"Always";"Always";"Sometimes";"Sometimes";"Mostly";"Always";"Sometimes";"Always";"Always";"Very important";"";"Always";"Mostly";"Always";"Always";"Rarely";"Rarely";"Rarely";"Rarely";"Always";"Always";"Yes, full compensation as promised";"";"One-off payment";"Neutral";"Neutral";"Yes, always";"";"50%-74%";"50%-74%";"50%-74%";"0%";"Neutral";"Half of the land";"When it was already constructed";"No";"";"";"I was not included in the decision-making process";"It's slightly more damaged";"Slightly less wildlife";"Neither agree or disagree";"";"Food security";"Access to clean energy";"Livelihood and economy";"Protect biodiversity and environment";"Regulate climate change";"";"Food security ";"Livelihood and economy";"Education";"20";"Woman";"Undergraduate degree";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"1";"TV Fan Bed Table Chairs Gas stove Pressure cooker Water Electricity";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"1";"0";"0";"0";"1";"0";"1";"1";"";"";"221745267";"3f178900-f48b-4f4e-8b99-47b687a39cfc";"2023-02-27T08:16:39";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"33"
"2023-02-27T13:46:29.470+05:30";"2023-02-27T13:58:32.655+05:30";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Not affected (far from dam)";"";"Yes";"Yes";"Very important";"";"Always";"Never";"Always";"Never";"Never";"Sometimes";"Mostly";"Never";"Never";"Always";"Very important";"";"Never";"Never";"Never";"Always";"Always";"Never";"Never";"Sometimes";"Never";"Always";"Not applicable, no compensation due";"No";"";"";"";"Yes, always";"";"75%-100%";"0%";"75%-100%";"0%";"Quite happy";"No impact";"When it was already constructed";"No";"";"";"I was not included in the decision-making process";"No change";"No change";"Disagree";"";"Protect biodiversity and environment";"Access to clean energy";"Food security";"Livelihood and economy";"Regulate climate change";"";"Health and wellbeing";"Education";"Sustainable use of water and sanitation for all";"19";"Man";"Undergraduate degree";"Other";"student";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"2";"Motorbike/scooter TV Computer Washing machine Fan Bed Table Chairs Gas stove Fridge Pressure cooker Internet Water Electricity";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"";"";"221747219";"458ecdbc-f59f-43ac-a067-be484f2b904f";"2023-02-27T08:28:43";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"34"
"2023-02-27T13:58:33.323+05:30";"2023-02-27T14:09:53.316+05:30";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Not affected (far from dam)";"";"Yes";"Yes";"Very important";"";"Never";"Sometimes";"Always";"Never";"Never";"Always";"Always";"Never";"Never";"Always";"Very important";"";"Never";"Always";"Always";"Always";"Always";"Never";"Never";"Always";"Always";"Always";"Not applicable, no compensation due";"No";"";"";"";"Yes, always";"";"50%-74%";"25%-49%";"50%-74%";"0%";"Quite happy";"No impact";"When it was already constructed";"No";"";"";"I was not included in the decision-making process";"It's slightly more healthy";"Much less wildlife";"Strongly agree";"";"Regulate climate change";"Access to clean energy";"Food security";"Protect biodiversity and environment";"Livelihood and economy";"";"Gender equality and women's empowerment";"Education";"Food security ";"19";"Man";"Undergraduate degree";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"1";"TV Computer Washing machine Bed Table Chairs Gas stove Pressure cooker Water Electricity";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"1";"1";"";"";"221749323";"876b0cb3-feb6-4165-bf02-f562245d26f5";"2023-02-27T08:39:57";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"35"
"2023-02-27T08:13:55.921-00:00";"2023-02-27T08:56:07.328-00:00";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Affected but not displaced (nearby village)";"";"Yes";"Yes";"Very important";"";"Never";"Never";"Never";"Never";"Never";"Always";"Always";"Always";"Never";"Never";"Very important";"";"Always";"Always";"Never";"Always";"";"Never";"Always";"Always";"Always";"Always";"Not applicable, no compensation due";"Yes";"";"";"";"Yes, but sometimes power cut (two hours every day)";"";"0%";"0%";"0%";"0%";"Very unhappy";"No impact";"Just when the construction work started";"No";"";"";"I was not included in the decision-making process";"It's much more damaged";"Slightly less wildlife";"Strongly disagree";"";"Regulate climate change";"Food security";"Protect biodiversity and environment";"Livelihood and economy";"Access to clean energy";"";"Education";"Health and wellbeing";"Sustainable use of natural resources";"29";"Man";"Postgraduate degree";"Skilled worker";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12";"3";"1";"Motorbike/scooter TV Computer Fan Bed Table Chairs Gas stove Microwave Fridge Pressure cooker Internet Water Electricity";"0";"1";"0";"1";"0";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"";"";"221753144";"01f156ff-0f8f-423a-8f0c-ba29d9911dfa";"2023-02-27T08:56:18";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"36"
"2023-02-27T14:09:53.925+05:30";"2023-02-27T17:45:00.914+05:30";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Displaced";"";"Yes";"Yes";"Very important";"";"Mostly";"Never";"Mostly";"Never";"Never";"Never";"Always";"Never";"Always";"Always";"Very important";"";"Rarely";"Sometimes";"Never";"Mostly";"Always";"Never";"Never";"Never";"Always";"Always";"Yes, partial compensation";"";"One-off payment";"Quite unhappy";"Quite unhappy";"Yes, always";"";"0%";"0%";"0%";"0%";"Quite unhappy";"The whole land";"Just when the construction work started";"Yes";"Directly spoke to decision makers";"";"Yes, to some extent";"It's slightly more damaged";"Slightly more wildlife";"Strongly disagree";"";"Food security";"Livelihood and economy";"Protect biodiversity and environment";"Regulate climate change";"Access to clean energy";"";"Livelihood and economy";"Food security ";"Health and wellbeing";"56";"Man";"Postgraduate degree";"Skilled worker";"";"";"";"";"";"";"";"";"Skilled worker";"";"";"";"";"";"";"";"";"12";"4";"2";"Motorbike/scooter TV Computer Washing machine Fan Bed Table Chairs Gas stove Fridge Pressure cooker Water Electricity";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"";"";"221812154";"e4222a1a-f6da-49eb-8f00-f9c1c311c60c";"2023-02-27T12:15:12";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"37"
"2023-02-27T08:56:07.412-00:00";"2023-02-28T06:27:53.815-00:00";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Affected but not displaced (nearby village)";"";"Yes";"Yes";"Very important";"";"Rarely ";"Always";"Rarely ";"Sometimes";"Never";"Always";"Always";"Mostly";"Mostly";"Mostly";"Very important";"";"Mostly";"Mostly";"Mostly";"Sometimes";"Always";"Rarely";"Always";"Rarely";"Always";"Always";"Not applicable, no compensation due";"Yes";"";"";"";"Yes, always";"";"0%";"0%";"0%";"1%-24%";"Quite unhappy";"No impact";"Just when the construction work started";"No";"";"";"I was not included in the decision-making process";"It's slightly more damaged";"Slightly less wildlife";"Neither agree or disagree";"";"Regulate climate change";"Livelihood and economy";"Protect biodiversity and environment";"Access to clean energy";"Food security";"";"Health and wellbeing";"Education";"Access to clean energy";"34";"Man";"Undergraduate degree";"Tourism";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"3";"2";"Car TV Washing machine Fan Bed Chairs Gas stove Microwave Fridge Pressure cooker Internet Water Electricity";"0";"0";"1";"1";"0";"0";"1";"0";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"";"";"221973195";"9cdcafb6-468d-4d3e-8c4d-cce7267f3baa";"2023-02-28T06:28:11";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"38"
"2023-02-27T17:45:01.550+05:30";"2023-02-28T11:58:16.414+05:30";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Not affected (near to dam)";"";"Yes";"Yes";"Very important";"";"Never";"Always";"Always";"Never";"Never";"Always";"Never";"Always";"Always";"Always";"Very important";"";"Always";"Always";"Always";"Always";"Always";"Always";"Always";"Always";"Always";"Always";"No, not compensated";"Yes";"";"";"";"Yes, always";"";"0%";"0%";"0%";"75%-100%";"Quite happy";"No impact";"Just when the construction work started";"";"";"";"I was not included in the decision-making process";"It's slightly more damaged";"Slightly less wildlife";"Agree";"";"Livelihood and economy";"Food security";"Protect biodiversity and environment";"Access to clean energy";"Regulate climate change";"";"Health and wellbeing";"Gender equality and women's empowerment";"Better infrastructure";"24";"Man";"Professional course/vocational qualification";"Shop owner / small business";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12";"4";"3";"Bike Motorbike/scooter Car TV Computer Washing machine Fan Bed Table Chairs Gas stove Microwave Fridge Freezer Pressure cooker Internet Water Electricity";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"";"";"221973229";"bee125ce-285a-42f7-bdd9-918fc3c5fc3a";"2023-02-28T06:28:30";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"39"
"2023-02-28T11:58:17.168+05:30";"2023-02-28T12:11:03.167+05:30";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Displaced";"";"Yes";"Yes";"Very important";"";"Always";"Never";"Always";"Never";"Never";"Always";"Always";"Always";"Always";"Always";"Very important";"";"Always";"Always";"Always";"Always";"Always";"Always";"Always";"Always";"Always";"Always";"Yes, partial compensation";"";"One-off payment";"Very unhappy";"Very unah";"Yes, always";"";"0%";"0%";"50%-74%";"50%-74%";"Very unhappy";"The whole land";"Just when the construction work started";"No";"";"";"No, I wasn't listened to at all";"It's much more damaged";"Much less wildlife";"Strongly disagree";"";"Livelihood and economy";"Food security";"Protect biodiversity and environment";"Access to clean energy";"Regulate climate change";"";"Sustainable economic growth and employment opportunities";"Health and wellbeing";"Sustainable use of water and sanitation for all";"39";"Man";"Secondary School";"Tourism";"";"";"";"";"";"";"";"";"Tourism";"";"";"";"";"";"";"";"";"12";"9";"1";"Bike Motorbike/scooter TV Washing machine Fan Bed Table Chairs Gas stove Fridge Pressure cooker Water Electricity";"1";"1";"0";"1";"0";"0";"1";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"";"";"221975247";"6d1d65b0-7286-4a0d-bf54-d1004decd393";"2023-02-28T06:41:15";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"40"
"2023-02-28T06:27:53.896-00:00";"2023-02-28T06:41:11.089-00:00";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Affected but not displaced (nearby village)";"";"Yes";"Yes";"Neutral";"";"Sometimes";"Never";"Sometimes";"Never";"Never";"Always";"Always";"Never";"Always";"Always";"Very important";"";"Mostly";"Sometimes";"Mostly";"Sometimes";"Sometimes";"Rarely";"Mostly";"Never";"Always";"Always";"Not applicable, no compensation due";"Yes";"";"";"";"Yes, always";"";"0%";"0%";"0%";"25%-49%";"Neutral";"Two-thirds of the land";"When it was already constructed";"No";"";"";"I was not included in the decision-making process";"It's slightly more damaged";"Slightly less wildlife";"Agree";"";"Livelihood and economy";"Food security";"Access to clean energy";"Protect biodiversity and environment";"Regulate climate change";"";"Education";"Livelihood and economy";"Food security ";"24";"Man";"Undergraduate degree";"Tourism";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8";"5";"22";"Bike Motorbike/scooter Car TV Computer Washing machine Fan Bed Table Chairs Gas stove Microwave Fridge Pressure cooker Internet Water Electricity";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"";"";"221975271";"270bcdaa-d809-41d6-a023-ed9079c6f0ee";"2023-02-28T06:41:28";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"41"
"2023-02-28T12:11:03.803+05:30";"2023-02-28T12:19:53.644+05:30";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Displaced";"";"Yes";"Yes";"Very important";"";"Always";"Always";"Always";"Always";"Always";"Always";"Always";"Always";"Always";"Always";"Very important";"";"Always";"Always";"Always";"Always";"Always";"Always";"Always";"Always";"Always";"Always";"Yes, partial compensation";"";"One-off payment";"Very unhappy";"Very unah";"Yes, always";"";"0%";"0%";"0%";"50%-74%";"Very unhappy";"The whole land";"Just when the construction work started";"No";"";"";"No, I wasn't listened to at all";"It's much more damaged";"Much less wildlife";"Strongly disagree";"";"Livelihood and economy";"Food security";"Access to clean energy";"Protect biodiversity and environment";"Regulate climate change";"";"Health and wellbeing";"Food security ";"Sustainable use of water and sanitation for all";"25";"Woman";"Secondary School";"Skilled worker";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12";"5";"2";"TV Fan Bed Table Chairs Gas stove Pressure cooker Water Electricity";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"1";"0";"0";"0";"1";"0";"1";"1";"";"";"221978333";"01f7e63d-1972-458e-aac1-394ae5f50206";"2023-02-28T06:59:36";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"42"
"2023-02-28T12:19:54.259+05:30";"2023-02-28T12:38:34.370+05:30";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Displaced";"";"Yes";"Yes";"Very important";"";"Always";"Never";"Never";"Never";"Never";"Always";"Always";"Never";"Always";"Always";"Very important";"";"Never";"Never";"Never";"Always";"Always";"Never";"Never";"Always";"Always";"Always";"Yes, full compensation as promised";"";"One-off payment";"Quite happy";"Quite happy";"Yes, always";"";"0%";"0%";"50%-74%";"50%-74%";"Quite unhappy";"The whole land";"Just when the construction work started";"No";"";"";"I was not included in the decision-making process";"It's much more damaged";"Much less wildlife";"Strongly disagree";"";"Protect biodiversity and environment";"Livelihood and economy";"Access to clean energy";"Food security";"Regulate climate change";"";"Livelihood and economy";"Gender equality and women's empowerment";"Protect biodiversity and environment";"52";"Man";"Secondary School";"Tourism";"";"";"";"";"";"";"";"";"Shop owner / small business";"";"";"";"";"";"";"";"";"2";"4";"2";"Motorbike/scooter Car TV Radio Computer Washing machine Fan Bed Table Chairs Gas stove Fridge Pressure cooker Internet Water Electricity";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"";"";"221980096";"472a4f7b-e812-4c3d-ae89-97686c613597";"2023-02-28T07:08:45";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"43"
"2023-02-28T06:41:11.279-00:00";"2023-02-28T07:11:07.850-00:00";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Affected but not displaced (nearby village)";"";"Yes";"Yes";"Very important";"";"Never";"Sometimes";"Sometimes";"Sometimes";"Never";"Always";"Always";"Always";"Always";"Always";"Very important";"";"Always";"Sometimes";"Always";"Sometimes";"Always";"Sometimes";"Always";"Sometimes";"Always";"Always";"Yes, but still waiting for payment";"";"One-off payment";"Very unhappy";"Quite unhappy";"Yes, always";"";"0%";"0%";"0%";"25%-49%";"Quite happy";"Less than half of the land";"Just when the construction work started";"No";"";"";"I was not included in the decision-making process";"It's slightly more damaged";"Slightly more wildlife";"Disagree";"";"Livelihood and economy";"Protect biodiversity and environment";"Food security";"Access to clean energy";"Regulate climate change";"";"Education";"Health and wellbeing";"Sustainable use of natural resources";"46";"Man";"Secondary School";"Tourism";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12";"4";"1";"Motorbike/scooter Car TV Computer Washing machine Fan Bed Table Chairs Gas stove Fridge Pressure cooker Internet Water Electricity";"0";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"";"";"221980569";"f11ea76a-c2a9-463e-82fb-bfe850e27f10";"2023-02-28T07:11:20";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"44"
"2023-02-28T12:38:34.975+05:30";"2023-02-28T14:15:09.624+05:30";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Displaced";"";"Yes";"Yes";"Very important";"";"Never";"Sometimes";"Sometimes";"Never";"Never";"Never";"Never";"Never";"Always";"Always";"Very important";"";"Always";"Never";"Always";"Always";"Mostly";"Never";"Never";"Never";"Never";"Never";"Yes, but still waiting for payment";"";"";"Very unhappy";"Very unah";"Yes, always";"";"0%";"0%";"0%";"0%";"Very unhappy";"The whole land";"Just when the construction work started";"No";"";"";"I was not included in the decision-making process";"It's much more damaged";"Much more wildlife";"Strongly disagree";"";"Livelihood and economy";"Food security";"Protect biodiversity and environment";"Access to clean energy";"Regulate climate change";"";"Health and wellbeing";"Livelihood and economy";"Gender equality and women's empowerment";"75";"Woman";"No formal education";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"1";"Fan Bed Gas stove Pressure cooker Water Electricity";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"";"";"221998279";"5dc14de9-e03f-47bb-ba72-166ec5b31321";"2023-02-28T08:45:21";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"45"
"2023-02-28T07:11:07.916-00:00";"2023-02-28T08:47:17.758-00:00";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Affected but not displaced (nearby village)";"";"Yes";"Yes";"Very important";"";"Mostly";"Always";"Mostly";"Never";"Never";"Never";"Always";"";"Always";"Always";"Very important";"";"Mostly";"Rarely";"Always";"Sometimes";"Always";"Never";"Never";"Never";"Always";"Always";"No, not compensated";"Yes";"";"";"";"Yes, always";"";"0%";"0%";"0%";"0%";"Very unhappy";"Less than half of the land";"Just when the construction work started";"No";"";"";"I was not included in the decision-making process";"It's slightly more damaged";"Slightly more wildlife";"Disagree";"";"Livelihood and economy";"Food security";"Protect biodiversity and environment";"Access to clean energy";"Regulate climate change";"";"Livelihood and economy";"Food security ";"Health and wellbeing";"50";"Woman";"Secondary School";"Livestock";"";"Livestock (for household)";"0";"0";"0";"0";"1";"0";"";"";"";"";"";"";"";"";"";"3";"6";"2";"Car TV Fan Bed Table Chairs Gas stove Fridge Pressure cooker Internet Water Electricity";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"";"";"221998663";"2b936f48-5ede-45fa-863d-959b25f34524";"2023-02-28T08:47:30";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"46"
"2023-02-28T14:15:10.241+05:30";"2023-02-28T14:22:13.151+05:30";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Displaced";"";"Yes";"Yes";"Very important";"";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"Very important";"";"Always";"Never";"Always";"Never";"Never";"Always";"Always";"Always";"Never";"Never";"Yes, but still waiting for payment";"";"";"Very unhappy";"Very unah";"Yes, always";"";"0%";"0%";"0%";"0%";"Very unhappy";"The whole land";"Just when the construction work started";"No";"";"";"No, I wasn't listened to at all";"It's much more damaged";"Much more wildlife";"Strongly disagree";"";"Food security";"Livelihood and economy";"Access to clean energy";"Protect biodiversity and environment";"Regulate climate change";"";"Food security ";"Health and wellbeing";"Livelihood and economy";"64";"Woman";"No formal education";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"1";"TV Fan Bed Table Chairs Gas stove Pressure cooker Water Electricity";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"1";"0";"0";"0";"1";"0";"1";"1";"";"";"221999676";"a1cac79d-4d05-4602-811c-0e1def8032b4";"2023-02-28T08:52:25";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"47"
"2023-02-28T14:22:13.824+05:30";"2023-02-28T14:29:04.980+05:30";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Affected but not displaced (nearby village)";"";"Yes";"Yes";"Very important";"";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"Mostly";"Never";"Never";"Very important";"";"Always";"Always";"Always";"Never";"Never";"Never";"Always";"Always";"Always";"Always";"No, not compensated";"Yes";"";"";"";"Yes, always";"";"0%";"0%";"0%";"0%";"Very unhappy";"Half of the land";"Just when the construction work started";"No";"";"";"I was not included in the decision-making process";"It's much more damaged";"Much more wildlife";"Strongly disagree";"";"Livelihood and economy";"Food security";"Access to clean energy";"Protect biodiversity and environment";"Regulate climate change";"";"Health and wellbeing";"Food security ";"Livelihood and economy";"44";"Woman";"Primary School";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"TV Bed Table Chairs Gas stove Pressure cooker Water Electricity";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"1";"1";"";"";"222001314";"0113aba8-3027-4d99-b302-e5ee04b34002";"2023-02-28T08:59:17";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"48"
"2023-02-28T08:47:17.825-00:00";"2023-02-28T08:59:06.146-00:00";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Affected but not displaced (nearby village)";"";"Yes";"Yes";"Very important";"";"Rarely ";"Never";"Rarely ";"Sometimes";"Never";"Sometimes";"Always";"Never";"Always";"Always";"Very important";"";"Mostly";"Rarely";"Always";"Rarely";"Always";"Rarely";"Mostly";"Rarely";"Always";"Always";"Yes, partial compensation";"";"One-off payment";"Very unhappy";"Quite unhappy";"Yes, always";"";"0%";"0%";"0%";"1%-24%";"Quite happy";"Half of the land";"Just when the construction work started";"No";"";"";"I was not included in the decision-making process";"No change";"Much more wildlife";"Strongly disagree";"";"Livelihood and economy";"Food security";"Protect biodiversity and environment";"Access to clean energy";"Regulate climate change";"";"Livelihood and economy";"Sustainable economic growth and employment opportunities";"Sustainable cities and human development";"49";"Man";"Secondary School";"Skilled worker";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12";"3";"2";"Car TV Washing machine Fan Bed Table Chairs Gas stove Fridge Pressure cooker Internet Water Electricity";"0";"0";"1";"1";"0";"0";"1";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"";"";"222001353";"19535d84-90dc-4002-98c1-40c35b1ee802";"2023-02-28T08:59:24";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"49"
"2023-02-28T14:29:05.606+05:30";"2023-02-28T14:37:41.210+05:30";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Affected but not displaced (nearby village)";"";"Yes";"Yes";"Very important";"";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"Never";"Very important";"";"Always";"Never";"Always";"Never";"Never";"Mostly";"Always";"Always";"Never";"Never";"Yes, but still waiting for payment";"";"";"Very unhappy";"Very unah";"Yes, always";"";"0%";"0%";"0%";"0%";"Very unhappy";"Half of the land";"Just when the construction work started";"No";"";"";"I was not included in the decision-making process";"It's much more damaged";"Much more wildlife";"Strongly disagree";"";"Livelihood and economy";"Food security";"Protect biodiversity and environment";"Access to clean energy";"Regulate climate change";"";"Livelihood and economy";"Food security ";"Health and wellbeing";"54";"Woman";"Primary School";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";"TV Fan Bed Table Chairs Gas stove Fridge Pressure cooker Water Electricity";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"";"";"222003134";"eafc3da4-c90a-44f0-875d-985742624eac";"2023-02-28T09:07:53";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"50"
