start,end,please_select_which_group_the_respondent_belongs_to,please_select_which_group_the_respondent_belongs_to_local_community,please_select_which_group_the_respondent_belongs_to_local_government,please_select_which_group_the_respondent_belongs_to_national_government,please_select_which_group_the_respondent_belongs_to_regulator,please_select_which_group_the_respondent_belongs_to_ngo_civil_society,please_select_which_group_the_respondent_belongs_to_utility_provider,please_select_which_group_the_respondent_belongs_to_other_please_specify,other_specify_11,how_was_the_respondent_affected_by_the_construction_of_the_dam,other_specify_13,do_you_understand_the_purpose_of_our_research,do_you_consent_to_participating_in_our_research,how_important_is_the_river_for_you,how_do_you_use_the_river,drinking_water_18,irrigation_19,washing_and_bathing,fishing_for_consumption,fishing_to_sell,tourism,cultural_significance_24,transport,prevent_climate_change_26,protect_biodiversity_27,how_important_are_forests_for_you,how_do_you_use_the_forest,firewood,collecting_herbs_medicinal_plants,food_animal,food_fruits,cultural_significance_34,construction,livestock_grazing,agriculture,prevent_climate_change_38,protect_biodiversity_39,have_you_received_any_financial_compensation_following_construction_of_the_dam,do_you_think_you_should_have_been_compensated_following_construction_of_the_dam,how_did_will_you_receive_this_compensation,are_you_happy_with_the_amount_of_compensation,are_you_happy_with_the_timing_of_compensation,do_you_have_access_to_electricity,do_you_receive_any_of_these_services_from_the_dam,electricity,irrigation_48,drinking_water_49,employment,how_do_you_feel_about_the_benefits_you_receive_from_the_dam,has_any_land_that_you_own_or_rent_been_impacted_by_the_dam,when_did_you_hear_about_the_construction_of_the_dam,did_you_have_the_opportunity_to_participate_in_decision_making,how_did_you_participate_in_decision_making,how_did_you_participate_in_decision_making_other_specify,do_you_feel_that_decision_makers_listened_to_you,have_you_noticed_a_change_in_the_environment_around_you_following_the_construction_of_the_dam,have_you_noticed_a_change_in_the_amount_of_wildlife_around_you_following_the_construction_of_the_dam,dam_development_has_fairly_balanced_the_needs_for_society_biodiversity_conservation_and_energy_generation_do_you,how_important_are_the_following_themes_to_you_61,x1st_choice_62,x2nd_choice_63,x3rd_choice_64,x4th_choice,x5th_choice,how_important_are_the_following_themes_to_you_67,x1st_choice_68,x2nd_choice_69,x3rd_choice_70,what_is_your_age,what_gender_do_you_identify_with,what_is_your_highest_level_of_education,what_is_your_current_occupation,other_specify_75,please_select_all_that_apply_76,please_select_all_that_apply_farming_crops_for_household_77,please_select_all_that_apply_farming_crops_to_sell_78,please_select_all_that_apply_fishing_for_household_79,please_select_all_that_apply_fishing_to_sell_80,please_select_all_that_apply_livestock_for_household_81,please_select_all_that_apply_livestock_to_sell_82,what_was_your_occupation_before_the_dam_was_built,other_specify_84,please_select_all_that_apply_85,please_select_all_that_apply_farming_crops_for_household_86,please_select_all_that_apply_farming_crops_to_sell_87,please_select_all_that_apply_fishing_for_household_88,please_select_all_that_apply_fishing_to_sell_89,please_select_all_that_apply_livestock_for_household_90,please_select_all_that_apply_livestock_to_sell_91,in_the_last_year_how_many_months_have_you_received_a_salary_or_income,how_many_people_live_in_your_household,in_the_last_year_how_many_people_in_your_household_received_a_salary_or_other_source_of_income,which_of_these_do_you_have_in_your_household,which_of_these_do_you_have_in_your_household_bike,which_of_these_do_you_have_in_your_household_motorbike_scooter,which_of_these_do_you_have_in_your_household_car,which_of_these_do_you_have_in_your_household_tv,which_of_these_do_you_have_in_your_household_radio,which_of_these_do_you_have_in_your_household_computer,which_of_these_do_you_have_in_your_household_washing_machine,which_of_these_do_you_have_in_your_household_air_conditioning,which_of_these_do_you_have_in_your_household_fan,which_of_these_do_you_have_in_your_household_bed,which_of_these_do_you_have_in_your_household_table,which_of_these_do_you_have_in_your_household_chairs,which_of_these_do_you_have_in_your_household_gas_stove,which_of_these_do_you_have_in_your_household_microwave,which_of_these_do_you_have_in_your_household_fridge,which_of_these_do_you_have_in_your_household_freezer,which_of_these_do_you_have_in_your_household_pressure_cooker,which_of_these_do_you_have_in_your_household_internet,which_of_these_do_you_have_in_your_household_water,which_of_these_do_you_have_in_your_household_electricity,what_country_do_you_live_in,what_is_your_highest_level_of_formal_education,id,uuid,submission_time,validation_status,notes,status,submitted_by,version,tags,index
2022-11-08T11:22:33Z,2022-11-08T11:34:18Z,Local community,1,0,0,0,0,0,0,NA,Affected but not displaced (nearby village),NA,Yes,Yes,Important,NA,Sometimes,Mostly,Sometimes,Mostly,Mostly,Sometimes,Sometimes,Always,Never,Rarely ,Very important,NA,Mostly,Mostly,Mostly,Mostly,Always,Never,Rarely,Sometimes,Never,Rarely,"Yes, but still waiting for payment",NA,Regular payment,Quite unhappy,Neutral,"Yes, but sometimes power cut (two hours every day)",NA,1%-24%,25%-49%,25%-49%,0%,Quite happy,The whole land,Two years before the construction work started,No,NA,NA,Not all,It's much more damaged,Much less wildlife,Disagree,NA,Food security,Livelihood and economy,Protect biodiversity and environment,Access to clean energy,Regulate climate change,NA,Food security ,Health and wellbeing,Livelihood and economy,27,Woman,Postgraduate degree,Fishing,NA,Farming crops (for household) Farming crops (to sell) Fishing (for household) Fishing (to sell) Livestock (for household),1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,Bike Bed Table Chairs Gas stove Water Electricity,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,NA,NA,198611797,c828340a-e706-41be-97d8-3ea318a425be,2022-11-08T11:34:32Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,11
2022-11-08T11:21:31Z,2022-11-08T11:36:07Z,Local community,1,0,0,0,0,0,0,NA,Not affected (far from dam),NA,Yes,Yes,Low importance,NA,Mostly,Never,Never,Never,Never,Always,Mostly,Mostly,Sometimes,Rarely ,Neutral,NA,Never,Never,Never,Rarely,Sometimes,Never,Never,Never,Never,Never,"Not applicable, no compensation due",No,NA,NA,NA,"Yes, but sometimes power cut (two hours every day)",NA,75%-100%,0%,75%-100%,0%,Very happy,No impact,When the dam was initially proposed,No,NA,NA,I was not included in the decision-making process,No change,No change,Strongly agree,NA,Livelihood and economy,Access to clean energy,Food security,Regulate climate change,Protect biodiversity and environment,NA,Health and wellbeing,Livelihood and economy,Sustainable economic growth and employment opportunities,33,Woman,Undergraduate degree,Tourism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,1,Motorbike/scooter TV Radio Fan Bed Table Chairs Gas stove Fridge Water Electricity,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,NA,NA,198612400,a83b726e-e17f-4c3e-8aca-8b5e1489064b,2022-11-08T11:36:17Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,12
2022-11-08T11:21:28Z,2022-11-08T11:36:32Z,Local community,1,0,0,0,0,0,0,NA,Not affected (far from dam),NA,No,Yes,Neutral,NA,Never,Never,Never,Never,Never,Mostly,Sometimes,Mostly,Rarely ,Rarely ,Low importance,NA,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Mostly,Sometimes,"No, not compensated",No,NA,NA,NA,"Yes, always",NA,25%-49%,NA,NA,NA,Quite happy,No impact,Just when the construction work started,No,NA,NA,I was not included in the decision-making process,No change,No change,Neither agree or disagree,NA,Livelihood and economy,Food security,Protect biodiversity and environment,Access to clean energy,Regulate climate change,NA,Better infrastructure,Education,Reduce inequality among and within countries,26,Prefer not to say,Undergraduate degree,Skilled worker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,3,Motorbike/scooter TV Washing machine Fan Bed Table Chairs Gas stove Fridge Freezer Water Electricity,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,NA,NA,198612608,17dd3dec-521c-4d60-9706-ecd42b15df37,2022-11-08T11:36:44Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,13
2022-11-08T11:21:50Z,2022-11-08T11:43:36Z,Local community,1,0,0,0,0,0,0,NA,Affected but not displaced (nearby village),NA,Yes,Yes,Important,NA,Sometimes,Sometimes,Sometimes,Sometimes,Rarely ,Mostly,Always,Mostly,Always,Always,Very important,NA,Mostly,Mostly,Always,Mostly,Always,Rarely,Rarely,Rarely,Always,Always,"No, not compensated",Yes,NA,NA,NA,"Yes, but sometimes power cut (two hours every day)",NA,75%-100%,25%-49%,25%-49%,25%-49%,Quite happy,Less than half of the land,One year before the construction work started,No,NA,NA,Not all,No change,No change,Disagree,NA,Livelihood and economy,Access to clean energy,Protect biodiversity and environment,Food security,Regulate climate change,NA,Education,Gender equality and women's empowerment,Access to clean energy,43,Woman,Secondary School,Skilled worker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,Bike Car Radio Fan Bed Table Chairs Gas stove Microwave Fridge Internet Water Electricity,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,NA,NA,198614977,a76220f6-1ecb-4895-8421-6d69b01d3806,2022-11-08T11:43:46Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,14
2022-11-08T11:21:22Z,2022-11-08T11:47:03Z,Local community,1,0,0,0,0,0,0,NA,Affected but not displaced (downstream),NA,Yes,Yes,Very important,NA,Always,Never,Always,Never,Never,Always,Never,Never,Never,Never,Important,NA,Never,Never,Never,Mostly,Sometimes,Mostly,Never,Never,Never,Sometimes,"Not applicable, no compensation due",No,NA,NA,NA,"Yes, always",NA,75%-100%,0%,75%-100%,0%,Quite happy,No impact,When it was already constructed,No,NA,NA,Not all,No change,Slightly less wildlife,Neither agree or disagree,NA,Access to clean energy,Livelihood and economy,Food security,Protect biodiversity and environment,Regulate climate change,NA,Livelihood and economy,Food security ,Health and wellbeing,30,Man,Postgraduate degree,Skilled worker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,5,1,Bike Car TV Radio Computer Washing machine Bed Table Chairs Gas stove Fridge Internet Water Electricity,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,NA,NA,198616168,5573a8a4-8bff-4b1f-85c5-96084bf697ee,2022-11-08T11:47:14Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,15
2022-11-08T11:21:11Z,2022-11-08T11:48:49Z,Local community,1,0,0,0,0,0,0,NA,Affected but not displaced (nearby village),NA,Yes,Yes,Important,NA,Sometimes,Always,Sometimes,Mostly,Mostly,Sometimes,Mostly,Sometimes,Mostly,Mostly,Important,NA,Mostly,Mostly,Mostly,Mostly,Mostly,Sometimes,Sometimes,Mostly,Mostly,Mostly,"No, not compensated",Yes,NA,NA,NA,"Yes, but sometimes power cut (two hours every day)",NA,50%-74%,25%-49%,1%-24%,1%-24%,Quite unhappy,Less than half of the land,One year before the construction work started,No,NA,NA,"No, I wasn't listened to at all",It's slightly more damaged,Slightly less wildlife,Disagree,NA,Food security,Protect biodiversity and environment,Access to clean energy,Regulate climate change,Livelihood and economy,NA,Food security ,Health and wellbeing,Sustainable use of natural resources,NA,Man,Secondary School,Farming,NA,Farming crops (for household),1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,2,Bike Motorbike/scooter Car TV Bed Table Chairs Gas stove Fridge Pressure cooker Water Electricity,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,NA,NA,198616936,c514f806-fce1-4976-a968-60a3249ebb58,2022-11-08T11:49:00Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,16
2022-11-08T11:22:49Z,2022-11-08T11:49:34Z,Local community,1,0,0,0,0,0,0,NA,Displaced,NA,Yes,Yes,Important,NA,Rarely ,Never,Rarely ,Never,Never,Never,Mostly,Never,Never,Never,Low importance,NA,Sometimes,Rarely,Rarely,Mostly,Mostly,Rarely,Never,Rarely,Never,Rarely,"Yes, but still waiting for payment",NA,Regular payment,Quite unhappy,Neutral,"Yes, but mostly power cut (more than five hours every day)",NA,1%-24%,1%-24%,1%-24%,0%,Very unhappy,The whole land,Six months before the construction work started,No,NA,NA,"No, I wasn't listened to at all",It's much more damaged,No change,Disagree,NA,Food security,Livelihood and economy,Protect biodiversity and environment,Regulate climate change,Access to clean energy,NA,Food security ,Sustainable economic growth and employment opportunities,Better infrastructure,32,Man,Secondary School,Labourer / daily wage earner,NA,NA,NA,NA,NA,NA,NA,NA,Fishing,NA,Fishing (for household) Fishing (to sell),0,0,1,1,0,0,9,8,3,Bike TV Radio Washing machine Fan Bed Table Chairs Electricity,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,NA,NA,198617241,4715da80-a70b-4878-8d8c-4afe4d3bd12c,2022-11-08T11:49:46Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,17
2022-11-08T11:21:46Z,2022-11-08T11:51:46Z,Other (please specify),0,0,0,0,0,0,1,Urban,Not affected (far from dam),NA,Yes,Yes,Very important,NA,Always,NA,NA,NA,NA,NA,NA,NA,NA,NA,Important,NA,NA,NA,NA,NA,Always,NA,NA,NA,NA,NA,"Not applicable, no compensation due",No,NA,NA,NA,"Yes, but sometimes power cut (two hours every day)",NA,75%-100%,0%,75%-100%,0%,Quite happy,No impact,When it was already constructed,No,NA,NA,I was not included in the decision-making process,No change,No change,Strongly agree,NA,Livelihood and economy,Protect biodiversity and environment,Food security,Access to clean energy,Regulate climate change,NA,Livelihood and economy,Food security ,Access to clean energy,38,Woman,Postgraduate degree,Skilled worker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2,2,Car Computer Washing machine Bed Table Chairs Gas stove Microwave Fridge Freezer Internet Water Electricity,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,NA,NA,198618094,36ee7d8f-be86-4de6-a54b-0c61ed4f82ed,2022-11-08T11:51:57Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,18
2022-11-08T11:22:19Z,2022-11-08T13:05:41Z,Local community,1,0,0,0,0,0,0,NA,Not affected (far from dam),NA,Yes,Yes,Low importance,NA,Rarely ,Never,Rarely ,Rarely ,Rarely ,Sometimes,Mostly,Rarely ,Rarely ,Rarely ,Low importance,NA,Rarely,Sometimes,Rarely,Never,Rarely,Sometimes,Never,Never,Rarely,Rarely,"Not applicable, no compensation due",No,NA,NA,NA,"Yes, always",NA,50%-74%,0%,50%-74%,25%-49%,Quite happy,No impact,Two years before the construction work started,No,NA,NA,I was not included in the decision-making process,It's slightly more damaged,Slightly less wildlife,Neither agree or disagree,NA,Livelihood and economy,Access to clean energy,Food security,Regulate climate change,Protect biodiversity and environment,NA,Better infrastructure,Sustainable cities and human development,Global partnerships,35,Man,Postgraduate degree,Shop owner / small business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2,1,Car TV Radio Computer Washing machine Fan Bed Table Chairs Fridge Internet Water Electricity,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,NA,NA,198645924,38598611-fd83-45c5-ac20-55db47fd44a3,2022-11-08T13:04:53Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,19
2023-02-27T06:45:36Z,2023-02-27T07:00:15Z,Local community,1,0,0,0,0,0,0,NA,Affected but not displaced (nearby village),NA,Yes,Yes,Very important,NA,Sometimes,Sometimes,Never,Never,Never,Mostly,Always,Mostly,Always,Always,Very important,NA,Sometimes,Mostly,Sometimes,Always,Mostly,Sometimes,Mostly,Never,Always,Always,"Not applicable, no compensation due",Yes,NA,NA,NA,"Yes, but sometimes power cut (two hours every day)",NA,50%-74%,0%,0%,0%,Neutral,No impact,When it was already constructed,No,NA,NA,I was not included in the decision-making process,It's slightly more damaged,Slightly less wildlife,Neither agree or disagree,NA,Protect biodiversity and environment,Livelihood and economy,Food security,Access to clean energy,Regulate climate change,NA,Education,Reduce inequality among and within countries,Protect biodiversity and environment,21,Man,Undergraduate degree,Other,Student,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,1,TV Washing machine Fan Bed Table Chairs Gas stove Fridge Pressure cooker Water Electricity,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,NA,NA,221731562,f36e448d-6a8e-414e-9671-002f9fbbcf1b,2023-02-27T07:00:29Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,20
2023-02-27T06:43:23Z,2023-02-27T07:01:17Z,Local community,1,0,0,0,0,0,0,NA,Affected but not displaced (nearby village),NA,No,Yes,Very important,NA,NA,Always,Always,NA,NA,NA,Always,NA,NA,NA,Very important,NA,Always,NA,NA,NA,NA,NA,NA,Always,NA,NA,"No, not compensated",No,NA,NA,NA,"Yes, always",NA,50%-74%,NA,NA,NA,Very unhappy,Two-thirds of the land,When it was already constructed,No,NA,NA,I was not included in the decision-making process,It's much more damaged,Much more wildlife,Strongly disagree,NA,Livelihood and economy,Protect biodiversity and environment,Access to clean energy,Regulate climate change,Food security,NA,Education,Health and wellbeing,Peaceful and inclusive society,20,Man,Undergraduate degree,Farming,NA,Farming crops (for household),1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,TV Fan Bed Table Chairs Gas stove Fridge Pressure cooker Internet Electricity,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,NA,NA,221731706,0d4c5d83-3769-42ef-bc8b-186bab4b0f15,2023-02-27T07:01:28Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,21
2023-02-27T06:44:36Z,2023-02-27T07:12:01Z,Local community,1,0,0,0,0,0,0,NA,Affected but not displaced (nearby village),NA,Yes,Yes,Important,NA,Always,Never,Never,Never,Never,Never,Always,Always,Mostly,Mostly,Very important,NA,Mostly,Mostly,Never,Always,Always,Always,Always,Always,Sometimes,Sometimes,"Yes, partial compensation",NA,One-off payment,Quite happy,Very unah,"Yes, but sometimes power cut (two hours every day)",NA,50%-74%,25%-49%,75%-100%,50%-74%,Quite happy,Half of the land,Just when the construction work started,Yes,Directly spoke to decision makers,NA,"Yes, to some extent",No change,No change,Strongly agree,NA,Protect biodiversity and environment,Food security,Livelihood and economy,Access to clean energy,Regulate climate change,NA,Education,Gender equality and women's empowerment,Sustainable use of water and sanitation for all,24,Man,Undergraduate degree,Other,Postgraduate Student,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,Motorbike/scooter Car TV Computer Air conditioning Fan Bed Table Chairs Gas stove Microwave Fridge Freezer Pressure cooker Internet Water Electricity,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,221733537,f95e0438-2bd8-4b20-9a35-5be408811408,2023-02-27T07:12:13Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,22
2023-02-27T07:00:15Z,2023-02-27T07:12:41Z,Local community,1,0,0,0,0,0,0,NA,Affected but not displaced (nearby village),NA,Yes,Yes,Very important,NA,Mostly,Never,Never,Sometimes,Never,Sometimes,Mostly,Mostly,Sometimes,Sometimes,Very important,NA,Always,Sometimes,Always,Sometimes,Mostly,Sometimes,Mostly,Always,Mostly,Mostly,"Yes, partial compensation",NA,Regular payment,Quite unhappy,Quite unhappy,"Yes, but mostly power cut (more than five hours every day)",NA,0%,0%,0%,0%,Very unhappy,Two-thirds of the land,Just when the construction work started,No,NA,NA,I was not included in the decision-making process,It's slightly more damaged,Slightly less wildlife,Disagree,NA,Livelihood and economy,Food security,Regulate climate change,Access to clean energy,Protect biodiversity and environment,NA,Livelihood and economy,Food security ,Health and wellbeing,38,Man,Secondary School,Skilled worker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,6,2,Motorbike/scooter TV Washing machine Fan Bed Table Chairs Gas stove Fridge Pressure cooker Water Electricity,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,NA,NA,221733622,9062420e-5d02-465e-a792-ffb9ca1eb056,2023-02-27T07:12:54Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,23
2023-02-27T07:01:18Z,2023-02-27T07:16:14Z,Local community,1,0,0,0,0,0,0,NA,Affected but not displaced (nearby village),NA,Yes,Yes,Important,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,Always,Always,Very important,NA,Always,NA,Always,Always,Always,NA,NA,NA,Always,Always,"No, not compensated",Yes,NA,NA,NA,"Yes, always",NA,NA,NA,NA,NA,Quite unhappy,Half of the land,When it was already constructed,No,NA,NA,I was not included in the decision-making process,It's slightly more damaged,Slightly more wildlife,Strongly disagree,NA,Livelihood and economy,Food security,Protect biodiversity and environment,Regulate climate change,Access to clean energy,NA,Education,Health and wellbeing,Global partnerships,19,Woman,Undergraduate degree,Other,Lab Assistant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,5,1,TV Fan Bed Table Chairs Gas stove Pressure cooker Internet Water Electricity,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,NA,NA,221734073,e7ee7b0c-1697-4b95-bc6b-ae35cd6da2fb,2023-02-27T07:16:25Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,24
2023-02-27T07:12:41Z,2023-02-27T07:23:02Z,Local community,1,0,0,0,0,0,0,NA,Displaced,NA,Yes,Yes,Very important,NA,Always,Never,Always,Never,Never,Mostly,Always,Sometimes,Rarely ,Rarely ,Very important,NA,Sometimes,Sometimes,Never,Mostly,Never,Rarely,Rarely,Never,Rarely,Rarely,"Yes, full compensation as promised",NA,Both,Neutral,Neutral,"Yes, always",NA,25%-49%,75%-100%,75%-100%,0%,Neutral,The whole land,When it was already constructed,No,NA,NA,I was not included in the decision-making process,No change,No change,Agree,NA,Livelihood and economy,Food security,Access to clean energy,Regulate climate change,Protect biodiversity and environment,NA,Food security ,Education,Gender equality and women's empowerment,19,Woman,Secondary School,Other,student,NA,NA,NA,NA,NA,NA,NA,Other,student,NA,NA,NA,NA,NA,NA,NA,0,7,2,Motorbike/scooter Car TV Computer Washing machine Air conditioning Fan Bed Table Chairs Gas stove Fridge Pressure cooker Internet Water Electricity,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,NA,NA,221735198,58f62395-d287-4544-8e35-0a56e0b88358,2023-02-27T07:23:28Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,25
2023-02-27T07:12:01Z,2023-02-27T07:29:33Z,Local community,1,0,0,0,0,0,0,NA,Affected but not displaced (nearby village),NA,Yes,Yes,Very important,NA,Sometimes,Always,Always,Always,Never,Always,Always,Rarely ,Always,Always,Very important,NA,Always,Sometimes,Rarely,Sometimes,Always,Never,Always,Never,Always,Always,"Not applicable, no compensation due",Yes,NA,NA,NA,"Yes, but mostly power cut (more than five hours every day)",NA,0%,50%-74%,0%,1%-24%,Neutral,No impact,When it was already constructed,No,NA,NA,I was not included in the decision-making process,It's slightly more damaged,Slightly less wildlife,Disagree,NA,Regulate climate change,Food security,Livelihood and economy,Protect biodiversity and environment,Access to clean energy,NA,Education,Health and wellbeing,Sustainable use of natural resources,20,Man,Secondary School,Other,student,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,3,Motorbike/scooter TV Computer Washing machine Fan Bed Table Chairs Gas stove Fridge Pressure cooker Internet Water Electricity,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,NA,NA,221736200,bd04e3b6-22d5-44cd-82be-75a8ab512da7,2023-02-27T07:29:36Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,26
2023-02-27T07:16:15Z,2023-02-27T07:34:29Z,Local community,1,0,0,0,0,0,0,NA,Displaced,NA,Yes,Yes,Very important,NA,Always,Always,Always,Mostly,Mostly,Mostly,Sometimes,Sometimes,Mostly,Always,Very important,NA,Sometimes,Sometimes,Rarely,Mostly,Mostly,Sometimes,Rarely,Always,Always,Always,"Not applicable, no compensation due",No,NA,NA,NA,"Yes, always",NA,50%-74%,1%-24%,75%-100%,25%-49%,Quite happy,No impact,When it was already constructed,No,NA,NA,I was not included in the decision-making process,It's much more damaged,Much more wildlife,Agree,NA,Livelihood and economy,Protect biodiversity and environment,Access to clean energy,Food security,Regulate climate change,NA,Education,Health and wellbeing,Food security ,19,Woman,Undergraduate degree,Other,student,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,Motorbike/scooter Car Radio Washing machine Fan Bed Table Chairs Gas stove Microwave Fridge Freezer Pressure cooker Internet Water Electricity,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,221737231,fe1abe31-b4cc-4875-a656-c54a1ad2d6e6,2023-02-27T07:34:40Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,27
2023-02-27T07:34:30Z,2023-02-27T07:45:02Z,Local community,1,0,0,0,0,0,0,NA,Not affected (far from dam),NA,Yes,Yes,Very important,NA,Always,Always,Always,Never,Never,Never,Never,Never,Always,Always,Very important,NA,Mostly,Mostly,Never,Always,Always,Never,Never,Mostly,Mostly,Mostly,"Not applicable, no compensation due",No,NA,NA,NA,"Yes, always",NA,50%-74%,1%-24%,50%-74%,0%,Very happy,No impact,When it was already constructed,No,NA,NA,I was not included in the decision-making process,It's much more damaged,No change,Agree,NA,Protect biodiversity and environment,Regulate climate change,Food security,Access to clean energy,Livelihood and economy,NA,Gender equality and women's empowerment,Sustainable economic growth and employment opportunities,Better infrastructure,19,Woman,Undergraduate degree,Other,Student,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,Bike Car TV Computer Washing machine Fan Bed Table Chairs Gas stove Fridge Freezer Pressure cooker Internet Water Electricity,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,NA,NA,221739101,0a43ea00-1204-4692-a2c9-1828efff8011,2023-02-27T07:45:34Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,28
2023-02-27T07:23:02Z,2023-02-27T07:47:00Z,Local community,1,0,0,0,0,0,0,NA,Displaced,NA,Yes,Yes,Very important,NA,Always,Sometimes,Always,Never,Never,Mostly,Always,Never,Always,Always,Very important,NA,Sometimes,Sometimes,Mostly,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Always,"Not applicable, no compensation due",No,NA,NA,NA,"Yes, always",NA,0%,0%,0%,0%,Neutral,The whole land,Just when the construction work started,No,NA,NA,I was not included in the decision-making process,It's slightly more damaged,Slightly less wildlife,Neither agree or disagree,NA,Livelihood and economy,Regulate climate change,Protect biodiversity and environment,Food security,Access to clean energy,NA,Education,Livelihood and economy,Sustainable economic growth and employment opportunities,26,Man,Undergraduate degree,Skilled worker,NA,NA,NA,NA,NA,NA,NA,NA,Other,student,NA,NA,NA,NA,NA,NA,NA,12,4,3,Motorbike/scooter TV Radio Computer Washing machine Fan Bed Table Chairs Gas stove Fridge Pressure cooker Internet Water Electricity,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,NA,NA,221739313,96eee538-4065-4a3d-b32e-44cb37a72c12,2023-02-27T07:47:11Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,29
